Month,Date,Fajr,Sunrise,Dhuhr,Asr,Maghrib,Ishaa
January,1,6:34,8:26,12:14,2:10,4:01,5:05
January,2,6:34,8:26,12:14,2:10,4:02,5:06
January,3,6:34,8:26,12:14,2:12,4:03,5:06
January,4,6:34,8:25,12:15,2:13,4:05,5:07
January,5,6:33,8:25,12:15,2:14,4:06,5:07
January,6,6:33,8:25,12:16,2:16,4:08,5:08
January,7,6:33,8:24,12:16,2:17,4:09,5:10
January,8,6:33,8:24,12:17,2:18,4:10,5:11
January,9,6:32,8:23,12:17,2:19,4:12,5:13
January,10,6:32,8:23,12:18,2:21,4:13,5:13
January,11,6:31,8:22,12:18,2:22,4:14,5:15
January,12,6:31,8:21,12:18,2:24,4:15,5:16
January,13,6:30,8:20,12:19,2:25,4:17,5:17
January,14,6:30,8:19,12:19,2:27,4:19,5:19
January,15,6:29,8:18,12:19,2:29,4:20,5:20
January,16,6:28,8:17,12:20,2:30,4:22,5:22
January,17,6:28,8:16,12:20,2:32,4:24,5:23
January,18,6:27,8:15,12:20,2:33,4:26,5:25
January,19,6:26,8:14,12:21,2:35,4:28,5:26
January,20,6:25,8:13,12:21,2:37,4:30,5:28
January,21,6:24,8:12,12:21,2:39,4:32,5:30
January,22,6:23,8:11,12:22,2:40,4:34,5:31
January,23,6:22,8:09,12:22,2:42,4:36,5:33
January,24,6:21,8:08,12:22,2:44,4:38,5:35
January,25,6:20,8:06,12:22,2:46,4:39,5:36
January,26,6:19,8:05,12:23,2:47,4:41,5:38
January,27,6:18,8:03,12:23,2:49,4:43,5:40
January,28,6:17,8:01,12:23,2:51,4:45,5:41
January,29,6:15,8:00,12:23,2:53,4:47,5:43
January,30,6:14,7:58,12:23,2:53,4:49,5:45
January,31,6:13,7:56,12:23,2:56,4:51,5:46
February,1,6:11,7:55,12:24,2:58,4:53,5:48
February,2,6:10,7:53,12:24,3:00,4:55,5:50
February,3,6:08,7:52,12:24,3:02,4:57,5:52
February,4,6:07,7:50,12:24,3:04,4:59,5:54
February,5,6:05,7:48,12:24,3:06,5:01,5:55
February,6,6:04,7:46,12:24,3:08,5:03,5:57
February,7,6:02,7:44,12:24,3:09,5:05,5:59
February,8,6:01,7:42,12:24,3:11,5:07,6:01
February,9,5:59,7:40,12:24,3:13,5:09,6:03
February,10,5:57,7:38,12:24,3:15,5:11,6:04
February,11,5:55,7:36,12:24,3:17,5:13,6:06
February,12,5:54,7:34,12:24,3:19,5:15,6:08
February,13,5:52,7:32,12:24,3:21,5:17,6:10
February,14,5:50,7:30,12:24,3:22,5:19,6:12
February,15,5:48,7:28,12:24,3:24,5:21,6:14
February,16,5:46,7:26,12:24,3:26,5:23,6:15
February,17,5:44,7:24,12:24,3:28,5:25,6:17
February,18,5:42,7:22,12:24,3:30,5:27,6:19
February,19,5:40,7:20,12:24,3:31,5:29,6:21
February,20,5:38,7:18,12:24,3:33,5:31,6:23
February,21,5:36,7:15,12:24,3:35,5:33,6:25
February,22,5:34,7:13,12:24,3:37,5:35,6:27
February,23,5:32,7:11,12:23,3:39,5:37,6:28
February,24,5:30,7:08,12:23,3:40,5:39,6:30
February,25,5:28,7:06,12:23,3:42,5:41,6:32
February,26,5:26,7:04,12:23,3:44,5:43,6:34
February,27,5:24,7:02,12:23,3:46,5:45,6:36
February,28,5:22,7:00,12:23,3:47,5:47,6:38
February,29,5:20,6:58,12:23,3:48,5:49,6:40
March,1,5:19,6:57,12:22,3:49,5:49,6:40
March,2,5:17,6:55,12:22,3:51,5:51,6:41
March,3,5:14,6:52,12:22,3:52,5:53,6:43
March,4,5:12,6:50,12:22,3:54,5:55,6:45
March,5,5:09,6:48,12:22,3:56,5:56,6:47
March,6,5:07,6:45,12:21,3:57,5:58,6:49
March,7,5:05,6:43,12:21,3:59,6:00,6:51
March,8,5:02,6:40,12:21,4:01,6:02,6:53
March,9,5:00,6:38,12:21,4:02,6:04,6:55
March,10,4:57,6:35,12:20,4:04,6:06,6:57
March,11,4:55,6:33,12:20,4:05,6:08,6:58
March,12,4:52,6:31,12:20,4:07,6:10,7:00
March,13,4:50,6:29,12:20,4:09,6:12,7:02
March,14,4:47,6:26,12:19,4:10,6:14,7:04
March,15,4:45,6:23,12:19,4:12,6:15,7:06
March,16,4:42,6:20,12:19,4:13,6:17,7:08
March,17,4:39,6:18,12:18,4:15,6:19,7:10
March,18,4:37,6:16,12:18,4:16,6:21,7:12
March,19,4:34,6:13,12:18,4:18,6:23,7:14
March,20,4:32,6:11,12:18,4:19,6:25,7:16
March,21,4:29,6:09,12:17,4:21,6:27,7:18
March,22,4:26,6:06,12:17,4:22,6:29,7:20
March,23,4:23,6:04,12:17,4:24,6:30,7:22
March,24,4:21,6:01,12:16,4:25,6:32,7:24
March,25,4:18,5:59,12:16,4:27,6:34,7:26
March,26,4:15,5:56,12:16,4:28,6:36,7:28
March,27,4:12,5:54,12:15,4:29,6:38,7:30
March,28,4:10,5:51,12:15,4:31,6:40,7:32
March,29,4:07,5:49,12:15,4:32,6:42,7:34
March,30,4:04,5:46,12:15,4:34,6:43,7:36
March,31,4:01,5:44,12:14,4:35,6:45,7:38
April,1,4:58,6:41,1:14,5:36,7:47,8:40
April,2,4:55,6:39,1:14,5:38,7:49,8:42
April,3,4:52,6:37,1:13,5:39,7:51,8:44
April,4,4:49,6:35,1:13,5:40,7:53,8:46
April,5,4:46,6:32,1:13,5:42,7:55,8:48
April,6,4:43,6:30,1:12,5:43,7:56,8:50
April,7,4:41,6:27,1:12,5:44,7:58,8:52
April,8,4:38,6:25,1:12,5:46,8:00,8:54
April,9,4:35,6:22,1:12,5:47,8:02,8:56
April,10,4:32,6:20,1:11,5:48,8:04,8:58
April,11,4:28,6:17,1:11,5:50,8:06,9:00
April,12,4:25,6:15,1:11,5:51,8:07,9:03
April,13,4:22,6:12,1:11,5:52,8:09,9:05
April,14,4:19,6:10,1:10,5:53,8:11,9:07
April,15,4:16,6:08,1:10,5:55,8:13,9:09
April,16,4:13,6:05,1:10,5:56,8:15,9:11
April,17,4:10,6:03,1:10,5:57,8:17,9:13
April,18,4:07,6:01,1:09,5:58,8:19,9:16
April,19,4:04,5:59,1:09,6:00,8:20,9:18
April,20,4:01,5:57,1:09,6:01,8:22,9:20
April,21,3:58,5:54,1:09,6:01,8:24,9:22
April,22,3:55,5:51,1:09,6:03,8:26,9:24
April,23,3:51,5:49,1:08,6:04,8:28,9:27
April,24,3:47,5:47,1:08,6:06,8:30,9:29
April,25,3:44,5:45,1:08,6:07,8:31,9:31
April,26,3:41,5:43,1:08,6:08,8:33,9:33
April,27,3:37,5:42,1:08,6:09,8:35,9:36
April,28,3:34,5:39,1:08,6:10,8:37,9:38
April,29,3:31,5:36,1:07,6:11,8:39,9:40
April,30,3:27,5:33,1:07,6:12,8:41,9:43
May,1,3:25,5:32,1:07,6:14,8:42,9:45
May,2,3:23,5:30,1:07,6:15,8:44,9:47
May,3,3:21,5:28,1:07,6:16,8:46,9:49
May,4,3:19,5:26,1:07,6:17,8:48,9:51
May,5,3:17,5:24,1:07,6:18,8:50,9:53
May,6,3:15,5:22,1:07,6:18,8:51,9:55
May,7,3:13,5:20,1:07,6:20,8:53,9:57
May,8,3:11,5:18,1:06,6:21,8:55,9:59
May,9,3:09,5:16,1:06,6:22,8:57,10:01
May,10,3:07,5:14,1:06,6:23,8:58,10:03
May,11,3:05,5:12,1:06,6:24,9:00,10:05
May,12,3:03,5:10,1:06,6:25,9:02,10:07
May,13,3:01,5:09,1:06,6:26,9:04,10:09
May,14,2:59,5:07,1:06,6:27,9:06,10:11
May,15,2:57,5:05,1:06,6:28,9:07,10:13
May,16,2:55,5:03,1:06,6:29,9:08,10:15
May,17,2:53,5:02,1:06,6:30,9:10,10:17
May,18,2:51,5:00,1:06,6:31,9:12,10:19
May,19,2:49,4:58,1:06,6:32,9:14,10:23
May,20,2:47,4:57,1:06,6:33,9:15,10:25
May,21,2:45,4:55,1:07,6:34,9:17,10:27
May,22,2:43,4:54,1:07,6:35,9:18,10:29
May,23,2:41,4:54,1:07,6:36,9:20,10:31
May,24,2:39,4:52,1:07,6:36,9:21,10:33
May,25,2:37,4:50,1:07,6:37,9:23,10:35
May,26,2:35,4:49,1:07,6:38,9:24,10:37
May,27,2:33,4:48,1:07,6:39,9:26,10:39
May,28,2:31,4:46,1:07,6:40,9:27,10:41
May,29,2:29,4:45,1:07,6:41,9:29,10:43
May,30,2:27,4:44,1:07,6:41,9:30,10:45
May,31,2:25,4:43,1:07,6:42,9:31,10:47
June,1,2:27,4:42,1:08,6:43,9:32,10:49
June,2,2:24,4:42,1:08,6:43,9:33,10:49
June,3,2:21,4:41,1:08,6:44,9:34,10:50
June,4,2:17,4:40,1:08,6:45,9:35,10:50
June,5,2:15,4:40,1:08,6:45,9:37,10:50
June,6,2:13,4:40,1:09,6:45,9:38,10:50
June,7,2:12,4:39,1:09,6:46,9:39,10:51
June,8,2:09,4:39,1:09,6:47,9:39,10:51
June,9,2:07,4:38,1:09,6:47,9:40,10:51
June,10,2:05,4:37,1:09,6:48,9:41,10:51
June,11,2:03,4:36,1:10,6:49,9:42,10:51
June,12,2:01,4:36,1:10,6:49,9:43,10:52
June,13,2:00,4:35,1:10,6:50,9:44,10:52
June,14,1:58,4:35,1:10,6:50,9:45,10:52
June,15,1:56,4:34,1:11,6:50,9:46,10:52
June,16,1:55,4:34,1:11,6:51,9:46,10:53
June,17,1:53,4:34,1:11,6:51,9:46,10:53
June,18,1:52,4:34,1:11,6:51,9:46,10:54
June,19,1:52,4:34,1:11,6:52,9:47,10:54
June,20,1:52,4:34,1:11,6:52,9:47,10:54
June,21,1:52,4:34,1:12,6:52,9:47,10:54
June,22,1:53,4:34,1:12,6:52,9:47,10:54
June,23,1:53,4:34,1:12,6:53,9:47,10:54
June,24,1:53,4:34,1:12,6:53,9:47,10:54
June,25,1:54,4:35,1:13,6:53,9:47,10:54
June,26,1:55,4:35,1:13,6:53,9:47,10:54
June,27,1:58,4:36,1:13,6:53,9:47,10:54
June,28,1:58,4:36,1:13,6:53,9:47,10:54
June,29,1:59,4:37,1:13,6:54,9:47,10:54
June,30,2:00,4:38,1:14,6:54,9:46,10:54
July,1,2:04,4:39,1:14,6:53,9:46,10:53
July,2,2:06,4:39,1:14,6:53,9:46,10:53
July,3,2:08,4:40,1:14,6:53,9:45,10:52
July,4,2:10,4:41,1:14,6:53,9:45,10:52
July,5,2:12,4:42,1:15,6:53,9:44,10:51
July,6,2:14,4:43,1:15,6:52,9:43,10:50
July,7,2:17,4:44,1:15,6:51,9:43,10:50
July,8,2:20,4:45,1:15,6:51,9:42,10:49
July,9,2:24,4:46,1:15,6:51,9:41,10:48
July,10,2:27,4:47,1:15,6:51,9:40,10:47
July,11,2:30,4:48,1:15,6:51,9:39,10:46
July,12,2:32,4:49,1:16,6:50,9:38,10:46
July,13,2:34,4:51,1:16,6:50,9:37,10:45
July,14,2:36,4:52,1:16,6:49,9:36,10:44
July,15,2:38,4:53,1:16,6:49,9:35,10:44
July,16,2:40,4:54,1:16,6:48,9:34,10:43
July,17,2:42,4:55,1:16,6:47,9:33,10:42
July,18,2:44,4:57,1:16,6:46,9:32,10:42
July,19,2:46,4:59,1:16,6:46,9:30,10:40
July,20,2:48,5:00,1:16,6:45,9:29,10:39
July,21,2:50,5:02,1:16,6:44,9:28,10:38
July,22,2:52,5:03,1:16,6:44,9:26,10:37
July,23,2:54,5:05,1:16,6:43,9:25,10:36
July,24,2:56,5:07,1:16,6:42,9:23,10:34
July,25,2:58,5:08,1:16,6:41,9:22,10:32
July,26,3:00,5:09,1:16,6:41,9:20,10:30
July,27,3:02,5:11,1:16,6:40,9:19,10:28
July,28,3:04,5:12,1:16,6:38,9:17,10:26
July,29,3:06,5:14,1:16,6:37,9:15,10:24
July,30,3:08,5:16,1:16,6:36,9:13,10:22
July,31,3:10,5:17,1:16,6:35,9:12,10:20
August,1,3:12,5:19,1:16,6:34,9:10,10:17
August,2,3:14,5:21,1:16,6:33,9:08,10:15
August,3,3:16,5:22,1:16,6:32,9:06,10:13
August,4,3:18,5:24,1:16,6:31,9:04,10:10
August,5,3:20,5:26,1:16,6:30,9:02,10:08
August,6,3:22,5:28,1:16,6:28,9:01,10:05
August,7,3:24,5:30,1:16,6:27,8:59,10:03
August,8,3:26,5:31,1:16,6:26,8:57,10:00
August,9,3:29,5:33,1:16,6:24,8:55,9:58
August,10,3:31,5:35,1:15,6:23,8:53,9:56
August,11,3:33,5:37,1:15,6:22,8:50,9:53
August,12,3:35,5:38,1:15,6:20,8:47,9:50
August,13,3:37,5:40,1:15,6:19,8:46,9:47
August,14,3:39,5:42,1:15,6:17,8:44,9:45
August,15,3:41,5:43,1:15,6:16,8:42,9:42
August,16,3:44,5:45,1:14,6:15,8:40,9:40
August,17,3:47,5:47,1:14,6:13,8:38,9:37
August,18,3:50,5:49,1:14,6:11,8:35,9:34
August,19,3:52,5:50,1:14,6:10,8:33,9:32
August,20,3:55,5:53,1:13,6:08,8:31,9:29
August,21,3:58,5:54,1:13,6:07,8:29,9:27
August,22,4:01,5:57,1:13,6:05,8:26,9:24
August,23,4:04,5:59,1:13,6:03,8:24,9:21
August,24,4:06,6:01,1:12,6:02,8:22,9:19
August,25,4:09,6:03,1:12,6:00,8:20,9:16
August,26,4:12,6:04,1:12,5:58,8:17,9:13
August,27,4:14,6:05,1:12,5:57,8:15,9:11
August,28,4:17,6:07,1:12,5:55,8:13,9:08
August,29,4:19,6:09,1:12,5:53,8:10,9:05
August,30,4:22,6:10,1:12,5:51,8:08,9:03
August,31,4:24,6:12,1:10,5:49,8:05,9:00
September,1,4:27,6:13,1:10,5:48,8:03,8:57
September,2,4:29,6:15,1:10,5:46,8:01,8:55
September,3,4:32,6:17,1:09,5:44,7:58,8:52
September,4,4:34,6:19,1:09,5:42,7:56,8:49
September,5,4:36,6:21,1:09,5:40,7:53,8:47
September,6,4:39,6:23,1:08,5:38,7:51,8:44
September,7,4:41,6:25,1:08,5:36,7:49,8:41
September,8,4:43,6:26,1:08,5:34,7:46,8:39
September,9,4:46,6:28,1:07,5:32,7:44,8:36
September,10,4:48,6:30,1:07,5:30,7:41,8:33
September,11,4:50,6:31,1:07,5:28,7:39,8:31
September,12,4:52,6:33,1:06,5:26,7:36,8:28
September,13,4:54,6:35,1:06,5:24,7:34,8:26
September,14,4:57,6:37,1:06,5:22,7:31,8:23
September,15,4:59,6:39,1:05,5:20,7:29,8:20
September,16,5:01,6:41,1:05,5:18,7:26,8:18
September,17,5:03,6:42,1:05,5:16,7:24,8:15
September,18,5:04,6:44,1:04,5:14,7:21,8:12
September,19,5:07,6:46,1:04,5:12,7:19,8:10
September,20,5:09,6:48,1:04,5:10,7:16,8:07
September,21,5:11,6:50,1:03,5:08,7:14,8:05
September,22,5:13,6:51,1:03,5:06,7:12,8:02
September,23,5:15,6:53,1:02,5:04,7:09,8:00
September,24,5:17,6:55,1:02,5:02,7:07,7:57
September,25,5:19,6:57,1:02,4:59,7:04,7:55
September,26,5:21,6:59,1:01,4:57,7:02,7:52
September,27,5:23,7:01,1:01,4:55,6:59,7:49
September,28,5:25,7:02,1:01,4:53,6:57,7:47
September,29,5:27,7:04,1:00,4:51,6:54,7:45
September,30,5:29,7:06,1:00,4:49,6:52,7:42
October,1,5:31,7:08,1:00,4:47,6:45,7:40
October,2,5:33,7:09,12:59,4:45,6:44,7:39
October,3,5:35,7:11,12:59,4:42,6:42,7:35
October,4,5:37,7:13,12:59,4:40,6:40,7:32
October,5,5:39,7:15,12:58,4:38,6:37,7:30
October,6,5:40,7:17,12:58,4:36,6:35,7:27
October,7,5:42,7:19,12:58,4:34,6:32,7:25
October,8,5:44,7:20,12:58,4:32,6:32,7:23
October,9,5:46,7:22,12:57,4:30,6:30,7:20
October,10,5:48,7:24,12:57,4:27,6:28,7:18
October,11,5:50,7:26,12:57,4:25,6:25,7:16
October,12,5:52,7:28,12:57,4:23,6:23,7:13
October,13,5:53,7:30,12:56,4:21,6:21,7:11
October,14,5:55,7:32,12:56,4:19,6:18,7:09
October,15,5:57,7:34,12:56,4:17,6:16,7:07
October,16,5:59,7:36,12:56,4:15,6:14,7:04
October,17,6:01,7:37,12:55,4:13,6:11,7:03
October,18,6:02,7:39,12:55,4:11,6:09,7:00
October,19,6:04,7:41,12:55,4:09,6:07,6:58
October,20,6:06,7:42,12:55,4:07,6:05,6:56
October,21,6:08,7:44,12:55,4:04,6:02,6:54
October,22,6:09,7:46,12:55,4:02,6:00,6:52
October,23,6:11,7:49,12:54,4:00,5:58,6:50
October,24,6:13,7:51,12:54,3:58,5:56,6:48
October,25,6:15,7:53,12:54,3:56,5:54,6:46
October,26,6:16,7:55,12:54,3:55,5:51,6:44
October,27,6:18,7:57,12:54,3:53,5:49,6:42
October,28,6:20,7:59,12:54,3:51,5:47,6:40
October,29,6:22,8:00,12:54,3:49,5:45,6:38
October,30,6:23,8:02,12:54,3:47,5:43,6:36
October,31,6:25,8:04,12:54,3:45,5:41,6:34
November,1,5:27,7:06,11:54,2:43,4:39,5:32
November,2,5:28,7:08,11:54,2:41,4:37,5:30
November,3,5:30,7:10,11:54,2:39,4:35,5:29
November,4,5:32,7:12,11:54,2:38,4:33,5:27
November,5,5:33,7:14,11:54,2:36,4:31,5:25
November,6,5:35,7:16,11:54,2:34,4:29,5:24
November,7,5:37,7:18,11:54,2:33,4:28,5:22
November,8,5:38,7:20,11:54,2:31,4:26,5:20
November,9,5:40,7:22,11:54,2:29,4:24,5:19
November,10,5:42,7:24,11:54,2:28,4:22,5:17
November,11,5:43,7:26,11:54,2:26,4:21,5:14
November,12,5:45,7:28,11:54,2:25,4:19,5:14
November,13,5:46,7:30,11:54,2:23,4:17,5:13
November,14,5:48,7:32,11:54,2:22,4:16,5:12
November,15,5:50,7:34,11:55,2:20,4:14,5:10
November,16,5:51,7:35,11:55,2:19,4:13,5:09
November,17,5:53,7:37,11:55,2:18,4:11,5:08
November,18,5:54,7:39,11:55,2:16,4:10,5:07
November,19,5:56,7:41,11:55,2:15,4:08,5:06
November,20,5:57,7:43,11:55,2:14,4:07,5:04
November,21,5:59,7:45,11:56,2:12,4:06,5:03
November,22,6:00,7:46,11:56,2:11,4:05,5:02
November,23,6:02,7:48,11:56,2:10,4:03,5:01
November,24,6:03,7:50,11:57,2:09,4:02,5:00
November,25,6:04,7:52,11:57,2:08,4:01,5:00
November,26,6:06,7:54,11:58,2:07,4:00,4:59
November,27,6:07,7:56,11:58,2:06,3:59,4:58
November,28,6:09,7:58,11:58,2:05,3:58,4:57
November,29,6:10,7:59,11:59,2:04,3:57,4:56
November,30,6:11,8:00,11:59,2:03,3:56,4:56
December,1,6:12,8:02,11:59,2:03,3:55,4:55
December,2,6:14,8:01,11:59,2:02,3:55,4:55
December,3,6:15,8:05,12:00,2:02,3:54,4:55
December,4,6:16,8:06,12:00,2:01,3:53,4:54
December,5,6:17,8:07,12:01,2:01,3:53,4:53
December,6,6:18,8:09,12:01,2:01,3:53,4:53
December,7,6:19,8:10,12:01,2:00,3:53,4:52
December,8,6:20,8:11,12:02,2:00,3:53,4:52
December,9,6:21,8:13,12:02,1:59,3:53,4:52
December,10,6:22,8:15,12:03,1:59,3:52,4:52
December,11,6:23,8:16,12:03,1:59,3:52,4:52
December,12,6:24,8:17,12:04,1:59,3:52,4:52
December,13,6:25,8:17,12:04,1:59,3:52,4:52
December,14,6:26,8:18,12:05,1:59,3:52,4:52
December,15,6:27,8:19,12:05,1:59,3:52,4:52
December,16,6:27,8:20,12:06,1:59,3:52,4:53
December,17,6:28,8:21,12:06,2:00,3:52,4:53
December,18,6:29,8:22,12:07,2:00,3:52,4:53
December,19,6:29,8:22,12:08,2:00,3:52,4:54
December,20,6:30,8:23,12:08,2:00,3:52,4:54
December,21,6:31,8:23,12:09,2:01,3:52,4:54
December,22,6:31,8:24,12:09,2:01,3:53,4:55
December,23,6:32,8:24,12:10,2:02,3:53,4:55
December,24,6:32,8:25,12:10,2:02,3:54,4:56
December,25,6:32,8:25,12:11,2:03,3:55,4:57
December,26,6:33,8:25,12:11,2:03,3:55,4:57
December,27,6:33,8:26,12:12,2:04,3:56,4:58
December,28,6:33,8:26,12:12,2:05,3:57,4:59
December,29,6:34,8:26,12:13,2:07,3:58,5:00
December,30,6:34,8:26,12:13,2:08,3:59,5:01
December,31,6:34,8:26,12:14,2:09,4:00,5:02
